,id,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,slug,preferredDisplayStyle,promotionContentType,promotionContentId,promotionRecommendationCarouselId
229,5881,Egyéb fogyókúrás termékek,,,,15,False,0,0,[],False,egyeb-fogyokuras-termekek,,,,
230,5882,Fogyókúrás termékek,,,,2,False,0,0,[],False,fogyokuras-termekek,,,,
231,5883,"Lisztek, lisztkeverékek",,,,26,False,0,0,[],False,lisztek-lisztkeverekek,,,,
232,5884,Ropogtatnivaló,,,,26,False,0,0,[],False,ropogtatnivalo,,,,
233,5885,Édesség,,,,98,False,3,0,[],False,edesseg,,,,
234,5886,"Öntetek szószok, félkész ételek",,,,1,False,0,0,[],False,ontetek-szoszok-felkesz-etelek,,,,
235,5887,Italok,,,,2,False,2,0,[],False,italok,,,,
236,5888,"Müzlik, reggeliző pelyhek",,,,25,False,0,0,[],False,muzlik-reggelizo-pelyhek,,,,
237,5889,"Kenyér, pékáru, kalács, sütemény",,,,39,False,0,0,[],False,kenyer-pekaru-kalacs-sutemeny,,,,
238,5890,"Tészták, köretek",,,,33,False,0,0,[],False,tesztak-koretek,,,,
239,5892,"Kekszek, csokoládék",,,,6,False,0,0,[],False,kekszek-csokoladek,,,,
240,5894,Mesterséges édesítőszerek - por,,,,4,False,0,0,[],False,mesterseges-edesitoszerek-por,,,,
241,5895,Természetes édesítőszerek- por,,,,19,False,0,0,[],False,termeszetes-edesitoszerek-por,,,,
242,5896,Étrendkiegészítők,,,,43,False,0,0,[],False,etrendkiegeszitok,,,,
243,5897,Vitamin,,,,54,False,3,0,[],False,vitamin,,,,
244,5899,Egyéb fagyasztott pizza,,,,25,False,2,0,[],False,egyeb-fagyasztott-pizza,,,,
245,5900,Fagyasztott vékony tésztás pizza,,,,29,False,14,0,[],False,fagyasztott-vekony-tesztas-pizza,,,,
246,5901,Fagyasztott hasábburgonya,,,,16,False,0,0,[],False,fagyasztott-hasabburgonya,,,,
247,5902,Fagyasztott gyümölcs,,,,29,False,0,0,[],False,fagyasztott-gyumolcs,,,,
248,5903,Fagyasztott zöldség,,,,12,False,0,0,[],False,fagyasztott-zoldseg,,,,
